序号,试卷ID,试卷名称,题目数,总分,人数,模拟均分,模拟得分率,成绩表文件,源试卷JSON
1,2025_7ed1e341,2025年北京市中考数学试卷,28,100,42,53.2,0.532,01_2025_7ed1e341_北京市中考数学_成绩表.xlsx,C:\Users\mkxue\Desktop\Lumos\campus-system-p2\data\word_cut_outputs\2025_7ed1e341\paper.json
2,2025_c7e14ff8,2025年重庆市中考数学试卷,25,150,43,84.4,0.563,02_2025_c7e14ff8_重庆市中考数学_成绩表.xlsx,C:\Users\mkxue\Desktop\Lumos\campus-system-p2\data\word_cut_outputs\2025_c7e14ff8\paper.json
3,2025_c3d149b0,2025年福建省中考数学试卷,25,150,44,84.8,0.565,03_2025_c3d149b0_福建省中考数学_成绩表.xlsx,C:\Users\mkxue\Desktop\Lumos\campus-system-p2\data\word_cut_outputs\2025_c3d149b0\paper.json
4,2025_38e02351,2025年广东省广州市中考数学试卷,25,120,45,64.3,0.536,04_2025_38e02351_广东省广州市中考数学_成绩表.xlsx,C:\Users\mkxue\Desktop\Lumos\campus-system-p2\data\word_cut_outputs\2025_38e02351\paper.json
5,2025_8ef50fa4,2025年广东省中考数学试卷,23,120,46,64,0.533,05_2025_8ef50fa4_广东省中考数学_成绩表.xlsx,C:\Users\mkxue\Desktop\Lumos\campus-system-p2\data\word_cut_outputs\2025_8ef50fa4\paper.json
6,2025_01b4925d,2025年海南省中考数学试卷,22,120,47,64.5,0.538,06_2025_01b4925d_海南省中考数学_成绩表.xlsx,C:\Users\mkxue\Desktop\Lumos\campus-system-p2\data\word_cut_outputs\2025_01b4925d\paper.json
7,2025_80631760,2025年河北省中考数学试卷,24,120,48,66.1,0.551,07_2025_80631760_河北省中考数学_成绩表.xlsx,C:\Users\mkxue\Desktop\Lumos\campus-system-p2\data\word_cut_outputs\2025_80631760\paper.json
8,2025_e04c3966,2025年河南省中考数学试卷,23,120,49,64.1,0.534,08_2025_e04c3966_河南省中考数学_成绩表.xlsx,C:\Users\mkxue\Desktop\Lumos\campus-system-p2\data\word_cut_outputs\2025_e04c3966\paper.json
9,2025_8fd56413,2025年黑龙江省大庆市中考数学试卷,28,120,50,65.5,0.546,09_2025_8fd56413_黑龙江省大庆市中考数学_成绩表.xlsx,C:\Users\mkxue\Desktop\Lumos\campus-system-p2\data\word_cut_outputs\2025_8fd56413\paper.json
10,2025_1bb98802,2025年黑龙江省哈尔滨市中考数学试卷,27,120,42,67.2,0.56,10_2025_1bb98802_黑龙江省哈尔滨市中考数学_成绩表.xlsx,C:\Users\mkxue\Desktop\Lumos\campus-system-p2\data\word_cut_outputs\2025_1bb98802\paper.json
11,2025_a66432a3,2025年湖北省武汉市中考数学试卷,24,120,43,66.6,0.555,11_2025_a66432a3_湖北省武汉市中考数学_成绩表.xlsx,C:\Users\mkxue\Desktop\Lumos\campus-system-p2\data\word_cut_outputs\2025_a66432a3\paper.json
12,2025_5c283fc6,2025年湖北省中考数学试卷,24,120,44,65,0.542,12_2025_5c283fc6_湖北省中考数学_成绩表.xlsx,C:\Users\mkxue\Desktop\Lumos\campus-system-p2\data\word_cut_outputs\2025_5c283fc6\paper.json
13,2025_f5735614,2025年湖南省中考数学试卷,26,120,45,68.2,0.568,13_2025_f5735614_湖南省中考数学_成绩表.xlsx,C:\Users\mkxue\Desktop\Lumos\campus-system-p2\data\word_cut_outputs\2025_f5735614\paper.json
14,2025_7cbf3ff3,2025年吉林省中考数学试卷,22,120,46,61.7,0.514,14_2025_7cbf3ff3_吉林省中考数学_成绩表.xlsx,C:\Users\mkxue\Desktop\Lumos\campus-system-p2\data\word_cut_outputs\2025_7cbf3ff3\paper.json
15,2025_635412fb,2025年江苏省常州市中考数学试卷,28,120,47,58.5,0.488,15_2025_635412fb_江苏省常州市中考数学_成绩表.xlsx,C:\Users\mkxue\Desktop\Lumos\campus-system-p2\data\word_cut_outputs\2025_635412fb\paper.json
16,2025_366351b2,2025年江苏省淮安市中考数学试卷,27,150,48,76.1,0.507,16_2025_366351b2_江苏省淮安市中考数学_成绩表.xlsx,C:\Users\mkxue\Desktop\Lumos\campus-system-p2\data\word_cut_outputs\2025_366351b2\paper.json
17,2025_4d8bf41d,2025年江苏省南京市中考数学试卷,27,120,49,60,0.5,17_2025_4d8bf41d_江苏省南京市中考数学_成绩表.xlsx,C:\Users\mkxue\Desktop\Lumos\campus-system-p2\data\word_cut_outputs\2025_4d8bf41d\paper.json
18,2025_fe306a03,2025年江苏省南通市中考数学试卷,26,150,50,82.1,0.547,18_2025_fe306a03_江苏省南通市中考数学_成绩表.xlsx,C:\Users\mkxue\Desktop\Lumos\campus-system-p2\data\word_cut_outputs\2025_fe306a03\paper.json
19,2025_c1c60221,2025年江苏省宿迁市中考数学试卷,28,150,42,81.5,0.543,19_2025_c1c60221_江苏省宿迁市中考数学_成绩表.xlsx,C:\Users\mkxue\Desktop\Lumos\campus-system-p2\data\word_cut_outputs\2025_c1c60221\paper.json
20,2025_f53c6301,2025年江苏省无锡市中考数学试卷,28,150,43,79.2,0.528,20_2025_f53c6301_江苏省无锡市中考数学_成绩表.xlsx,C:\Users\mkxue\Desktop\Lumos\campus-system-p2\data\word_cut_outputs\2025_f53c6301\paper.json
21,2025_799a5b82,2025年江苏省徐州市中考数学试卷,28,140,44,75.8,0.541,21_2025_799a5b82_江苏省徐州市中考数学_成绩表.xlsx,C:\Users\mkxue\Desktop\Lumos\campus-system-p2\data\word_cut_outputs\2025_799a5b82\paper.json
22,2025_b2b99d02,2025年江苏省盐城市中考数学试卷,27,150,45,78.2,0.521,22_2025_b2b99d02_江苏省盐城市中考数学_成绩表.xlsx,C:\Users\mkxue\Desktop\Lumos\campus-system-p2\data\word_cut_outputs\2025_b2b99d02\paper.json
23,2025_63842d9f,2025年江苏省镇江市中考数学试卷,26,120,46,65.7,0.548,23_2025_63842d9f_江苏省镇江市中考数学_成绩表.xlsx,C:\Users\mkxue\Desktop\Lumos\campus-system-p2\data\word_cut_outputs\2025_63842d9f\paper.json
24,2025_1ec26f02,2025年江西省中考数学试卷,23,120,47,61.9,0.516,24_2025_1ec26f02_江西省中考数学_成绩表.xlsx,C:\Users\mkxue\Desktop\Lumos\campus-system-p2\data\word_cut_outputs\2025_1ec26f02\paper.json
25,2025_b1d9d19e,2025年辽宁省中考数学试卷,23,120,48,64.7,0.539,25_2025_b1d9d19e_辽宁省中考数学_成绩表.xlsx,C:\Users\mkxue\Desktop\Lumos\campus-system-p2\data\word_cut_outputs\2025_b1d9d19e\paper.json
26,2025_f186d09c,2025年内蒙古中考数学试卷,18,100,49,53,0.53,26_2025_f186d09c_内蒙古中考数学_成绩表.xlsx,C:\Users\mkxue\Desktop\Lumos\campus-system-p2\data\word_cut_outputs\2025_f186d09c\paper.json
27,2025_4f8a5722,2025年宁夏中考数学试卷,26,120,50,65.5,0.546,27_2025_4f8a5722_宁夏中考数学_成绩表.xlsx,C:\Users\mkxue\Desktop\Lumos\campus-system-p2\data\word_cut_outputs\2025_4f8a5722\paper.json
28,2025_cd67c874,2025年青海省西宁市中考数学试卷,26,120,42,63.3,0.528,28_2025_cd67c874_青海省西宁市中考数学_成绩表.xlsx,C:\Users\mkxue\Desktop\Lumos\campus-system-p2\data\word_cut_outputs\2025_cd67c874\paper.json
29,2025_e6f3fa19,2025年青海省中考数学试卷,25,120,43,63.4,0.528,29_2025_e6f3fa19_青海省中考数学_成绩表.xlsx,C:\Users\mkxue\Desktop\Lumos\campus-system-p2\data\word_cut_outputs\2025_e6f3fa19\paper.json
30,2025_83bc8d10,2025年山东省滨州市中考数学试卷,24,120,44,61.9,0.516,30_2025_83bc8d10_山东省滨州市中考数学_成绩表.xlsx,C:\Users\mkxue\Desktop\Lumos\campus-system-p2\data\word_cut_outputs\2025_83bc8d10\paper.json
31,2025_1174eddb,2025年山东省德州市中考数学试卷,23,150,45,81.2,0.541,31_2025_1174eddb_山东省德州市中考数学_成绩表.xlsx,C:\Users\mkxue\Desktop\Lumos\campus-system-p2\data\word_cut_outputs\2025_1174eddb\paper.json
32,2025_837d6985,2025年山东省东营市中考数学试卷,25,120,46,67.3,0.561,32_2025_837d6985_山东省东营市中考数学_成绩表.xlsx,C:\Users\mkxue\Desktop\Lumos\campus-system-p2\data\word_cut_outputs\2025_837d6985\paper.json
33,2025_c51839cf,2025年山东省济南市中考数学试卷,25,150,47,82.8,0.552,33_2025_c51839cf_山东省济南市中考数学_成绩表.xlsx,C:\Users\mkxue\Desktop\Lumos\campus-system-p2\data\word_cut_outputs\2025_c51839cf\paper.json
34,2025_bc940036,2025年山东省青岛市中考数学试卷,25,120,48,64.7,0.539,34_2025_bc940036_山东省青岛市中考数学_成绩表.xlsx,C:\Users\mkxue\Desktop\Lumos\campus-system-p2\data\word_cut_outputs\2025_bc940036\paper.json
35,2025_f08d6776,2025年山东省潍坊市中考数学试卷,22,150,49,77,0.513,35_2025_f08d6776_山东省潍坊市中考数学_成绩表.xlsx,C:\Users\mkxue\Desktop\Lumos\campus-system-p2\data\word_cut_outputs\2025_f08d6776\paper.json
36,2025_4c3f75be,2025年山东省淄博市中考数学试卷,23,150,50,81.6,0.544,36_2025_4c3f75be_山东省淄博市中考数学_成绩表.xlsx,C:\Users\mkxue\Desktop\Lumos\campus-system-p2\data\word_cut_outputs\2025_4c3f75be\paper.json
